User ID,Full Name,Late Days Left,Orientation Quiz,Week 1 Quiz 1,Week 1 Quiz 2,Week 2 Quiz 1,Week 2 Quiz 2,Week 3 Quiz 1,Week 3 Quiz 2,Week 4 Quiz 1,Week 4 Quiz 2,Week 5 Quiz 1,Week 5 Quiz 2,Week 6 Quiz 1,Week 6 Quiz 2,Week 7 Quiz 1,Week 7 Quiz 2,Week 8 Quiz 1,Week 8 Quiz 2,Final Exam,Week 3 Discussion Samples,Week 5 Discussion Samples,Week 7 Discussion Samples
23080,XXXXX,0,5,12,1.8,,,,,,,,,,,,,,,,,,
23139,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
24489,XXXXX,0,5,,,,,,,,,,,,,,,,,,,,
24707,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
25364,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
27003,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
28714,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
29578,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
29763,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
29821,XXXXX,0,5,13,2.5,16,3.5,16,5,0,0,15,4.55556,18,5,20,4.85714,18,5,38,,,69
30243,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
30737,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
30984,XXXXX,0,5,13,3.8,14,8,17,5,14,,,,,,,,,,,,,
31008,XXXXX,0,5,13,3.8,15,8,16,6,16,,,,,,,,,,,,,
31023,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
31199,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
31379,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
33318,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
33805,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
34033,XXXXX,0,5,,,,,,,,,,,,,,,,,,,,
34744,XXXXX,0,5,11,3,,,,,,,,,,,,,,,,,,
34901,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
34928,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
35800,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
36348,XXXXX,0,5,16,3,14,6,14,5,16,2.27976,13,4.66667,18,,,,7.5,1.92857,29,,,
36460,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
36631,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
36645,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
36867,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
37480,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
37687,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
38563,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
39932,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
40636,XXXXX,0,5,,,,,,,,,,,,,,,,,,,,
41126,XXXXX,0,5,17,1.6,17,6,17,5,17,3.77381,15,4.72222,15,6,19,3,18,5,36,61.5,,
41695,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
41809,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
43613,XXXXX,0,5,,,,,,,,,,,,,,,,,,,,
43815,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
44012,XXXXX,0,5,18,,,,,,,,,,,,,,,,,,,
44789,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
44965,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
45020,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
45887,XXXXX,0,5,19,,,,,,,,,,,,,,,,,,,
45894,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
45932,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
47886,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
48340,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
48717,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
49022,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
49283,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
49675,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
50220,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
50249,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
50572,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
50826,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
50989,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
51047,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
52427,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
53293,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
53663,XXXXX,0,,,,10,,,,,,,,,,,,,,,,,
53948,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
54118,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
54517,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
54684,XXXXX,0,5,6.5,,15,6,12,4.83333,,,,,,,,,,,,,,
54954,XXXXX,0,5,12,,6,4,,,,,,,,,,,,,,,,
55595,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
55924,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
56086,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
56494,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
56616,XXXXX,0,,,,,,,,,,,,,,,,,,,,,
58020,XXXXX,0,0,,,,,,,,,,,,,,,,,,,,
